,CO2,fixed,variable
COAL_0,0.85819676404,3388938.68142,23.302
COAL_AMINE_0,0.114140169617,4700518.32058,45.5819786579
COAL_CRYO_0,0.101267218157,4284881.95694,41.3411539972
HYDROPOWER_0,0.0,2659839.46484,2.66
NGCC_0,0.329035905198,1239031.76694,17.552
NGCC_1,0.329035905198,1239031.76694,35.16
NGCC_2,0.329035905198,1239031.76694,85.69
NGCC_AMINE_0,0.038168165003,2550611.4061,27.7504181503
NGCC_AMINE_1,0.038168165003,2550611.4061,48.1756981503
NGCC_AMINE_2,0.038168165003,2550611.4061,106.79049815
NGCC_CRYO_0,0.038168165003,2134975.04247,27.7504181503
NGCC_CRYO_1,0.038168165003,2134975.04247,48.1756981503
NGCC_CRYO_2,0.038168165003,2134975.04247,106.79049815
NGCT_0,0.453751127329,770633.274099,32.1005
NGCT_1,0.453751127329,770633.274099,56.3825
NGCT_2,0.453751127329,770633.274099,126.065
NGCT_AMINE_0,0.0562651397889,2082212.91326,46.9501853768
NGCT_AMINE_1,0.0562651397889,2082212.91326,77.0598653768
NGCT_AMINE_2,0.0562651397889,2082212.91326,163.466165377
NGCT_CRYO_0,0.0562651397889,1666576.54962,46.9501853768
NGCT_CRYO_1,0.0562651397889,1666576.54962,77.0598653768
NGCT_CRYO_2,0.0562651397889,1666576.54962,163.466165377
NUCLEAR_0,0.0,2875443.26123,12.0
NUCLEAR_1,0.0,4667257.68165,12.0
NUCLEAR_2,0.0,7333965.3497,10.0
SOLAR_0,0.0,816035.017306,0.0
SOLAR_1,0.0,1316035.01731,0.0
SOLAR_2,0.0,2593035.01731,0.0
WIND_0,0.0,1331532.57887,0.0
WIND_1,0.0,1981532.57887,0.0
WIND_2,0.0,2367532.57887,0.0
