,DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
0,29476.0,0.0,98.3847753326,48218.0,48218.0,48218.0,96436.0
1,27859.5,0.0,126.430218497,48218.0,48218.0,48218.0,96436.0
2,25236.0,0.0,118.198084804,48218.0,48218.0,48218.0,96436.0
3,24147.0,0.0,115.312515585,48218.0,48218.0,48218.0,96436.0
4,22603.5,0.0,108.172145117,48218.0,48218.0,48218.0,96436.0
5,20447.5,0.0,103.182576154,48218.0,48218.0,48218.0,96436.0
6,20367.5,0.0,85.5711881175,48218.0,48218.0,48218.0,96436.0
7,19435.5,0.0,75.7745955737,48218.0,48218.0,48218.0,96436.0
8,18342.5,0.0,75.2468657096,48218.0,48218.0,48218.0,96436.0
9,18638.0,0.0,67.6931400402,48218.0,48218.0,48218.0,96436.0
10,18156.0,0.0,66.8006761166,48218.0,48218.0,48218.0,96436.0
11,18152.0,0.0,63.7680710174,48218.0,48218.0,48218.0,96436.0
12,18567.0,558.008333333,76.023238176,48218.0,48218.0,48218.0,96436.0
13,19001.0,6714.18333333,80.8473824549,48218.0,48218.0,48218.0,96436.0
14,20981.0,10608.325,78.8233599985,48218.0,48218.0,48218.0,96436.0
15,24210.0,11983.6916667,69.4025287058,48218.0,48218.0,48218.0,96436.0
16,27102.0,13767.8666667,77.3209297406,48218.0,48218.0,48218.0,96436.0
17,29449.0,14273.0583333,117.628348732,48218.0,48218.0,48218.0,96436.0
18,31058.0,13094.9583333,139.414324097,48218.0,48218.0,48218.0,96436.0
19,31775.0,11180.8416667,176.946248923,48218.0,48218.0,48218.0,96436.0
20,31814.0,8102.71666667,221.280737182,48218.0,48218.0,48218.0,96436.0
21,31367.0,4040.80833333,257.328354838,48218.0,48218.0,48218.0,96436.0
22,30525.0,327.958333333,362.921190031,48218.0,48218.0,48218.0,96436.0
23,30195.0,0.0,492.684415129,48218.0,48218.0,48218.0,96436.0
24,30661.0,0.0,541.781772156,48218.0,48218.0,48218.0,96436.0
25,29212.0,0.0,609.488826985,48218.0,48218.0,48218.0,96436.0
26,27641.0,0.0,617.724950989,48218.0,48218.0,48218.0,96436.0
27,26013.0,0.0,650.974368,48218.0,48218.0,48218.0,96436.0
28,24223.0,0.0,684.861252413,48218.0,48218.0,48218.0,96436.0
29,22296.0,0.0,737.095474787,48218.0,48218.0,48218.0,96436.0
30,19901.0,0.0,843.367118993,48218.0,48218.0,48218.0,96436.0
31,18451.0,0.0,967.616388977,48218.0,48218.0,48218.0,96436.0
32,17522.0,0.0,1019.18691628,48218.0,48218.0,48218.0,96436.0
33,16963.0,0.0,973.815209377,48218.0,48218.0,48218.0,96436.0
34,16711.0,0.0,1001.97751407,48218.0,48218.0,48218.0,96436.0
35,16856.0,0.0,981.607367484,48218.0,48218.0,48218.0,96436.0
36,17476.0,670.3,1001.07390552,48218.0,48218.0,48218.0,96436.0
37,18341.0,9181.2,931.839517399,48218.0,48218.0,48218.0,96436.0
