,DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
0,19826.5,0.0,21853.4470728,32076.0,32076.0,32076.0,64152.0
1,19169.0,0.0,21557.479214,32076.0,32076.0,32076.0,64152.0
2,18502.0,0.0,21152.5232587,32076.0,32076.0,32076.0,64152.0
3,17745.0,0.0,20846.9590381,32076.0,32076.0,32076.0,64152.0
4,16953.0,0.0,20356.9714934,32076.0,32076.0,32076.0,64152.0
5,16227.5,0.0,20127.2980793,32076.0,32076.0,32076.0,64152.0
6,15457.5,0.0,20711.0034259,32076.0,32076.0,32076.0,64152.0
7,14790.5,0.0,21197.521918,32076.0,32076.0,32076.0,64152.0
8,14225.5,0.0,21346.834814,32076.0,32076.0,32076.0,64152.0
9,13632.0,0.0,21493.0570595,32076.0,32076.0,32076.0,64152.0
10,13500.0,0.0,21825.6547312,32076.0,32076.0,32076.0,64152.0
11,13671.0,0.0,22268.0698115,32076.0,32076.0,32076.0,64152.0
12,14093.0,0.775,22749.3052374,32076.0,32076.0,32076.0,64152.0
13,14398.0,552.616666667,22956.0381844,32076.0,32076.0,32076.0,64152.0
14,14791.0,924.241666667,21879.0153741,32076.0,32076.0,32076.0,64152.0
15,15502.0,608.833333333,21549.132292,32076.0,32076.0,32076.0,64152.0
16,16144.0,526.275,20929.0529154,32076.0,32076.0,32076.0,64152.0
17,16548.0,454.45,20305.4384864,32076.0,32076.0,32076.0,64152.0
18,16812.0,343.825,20045.5841431,32076.0,32076.0,32076.0,64152.0
19,16915.0,198.85,20013.3259622,32076.0,32076.0,32076.0,64152.0
20,17069.0,213.566666667,20313.8567241,32076.0,32076.0,32076.0,64152.0
21,17248.0,17.6333333333,22393.0949696,32076.0,32076.0,32076.0,64152.0
22,17925.0,0.0,24529.4555545,32076.0,32076.0,32076.0,64152.0
23,19059.0,0.0,25526.1574558,32076.0,32076.0,32076.0,64152.0
24,19106.0,0.0,25865.5519714,32076.0,32076.0,32076.0,64152.0
25,18892.0,0.0,26330.8776872,32076.0,32076.0,32076.0,64152.0
26,18513.0,0.0,26779.832593,32076.0,32076.0,32076.0,64152.0
27,17979.0,0.0,26772.1517287,32076.0,32076.0,32076.0,64152.0
28,17113.0,0.0,26691.0330211,32076.0,32076.0,32076.0,64152.0
29,16106.0,0.0,27208.9552964,32076.0,32076.0,32076.0,64152.0
30,15151.0,0.0,27866.9968645,32076.0,32076.0,32076.0,64152.0
31,14488.0,0.0,28394.1393363,32076.0,32076.0,32076.0,64152.0
32,14114.0,0.0,28774.7361791,32076.0,32076.0,32076.0,64152.0
33,13915.0,0.0,29139.7529165,32076.0,32076.0,32076.0,64152.0
34,13936.0,0.0,28895.4495143,32076.0,32076.0,32076.0,64152.0
35,14220.0,0.0,28559.0875478,32076.0,32076.0,32076.0,64152.0
36,14839.0,0.841666666667,28713.2229907,32076.0,32076.0,32076.0,64152.0
37,15491.0,558.333333333,28476.4291992,32076.0,32076.0,32076.0,64152.0
38,16194.0,957.8,28210.8866575,32076.0,32076.0,32076.0,64152.0
39,16940.0,843.866666667,27506.411862,32076.0,32076.0,32076.0,64152.0
40,17430.0,763.283333333,27250.3923529,32076.0,32076.0,32076.0,64152.0
41,17613.0,782.858333333,27258.4607808,32076.0,32076.0,32076.0,64152.0
42,17641.0,787.833333333,27425.9025108,32076.0,32076.0,32076.0,64152.0
43,17539.0,503.591666667,27215.9630759,32076.0,32076.0,32076.0,64152.0
44,17487.0,230.908333333,26292.7206828,32076.0,32076.0,32076.0,64152.0
45,17629.0,5.71666666667,27407.865641,32076.0,32076.0,32076.0,64152.0
46,18483.0,0.0,29263.8796798,32076.0,32076.0,32076.0,64152.0
47,19562.0,0.0,30266.7309319,32076.0,32076.0,32076.0,64152.0
48,19536.0,0.0,30237.7871511,32076.0,32076.0,32076.0,64152.0
49,19237.0,0.0,29991.8887988,32076.0,32076.0,32076.0,64152.0
50,18808.0,0.0,29455.0161449,32076.0,32076.0,32076.0,64152.0
51,18288.0,0.0,29093.2713192,32076.0,32076.0,32076.0,64152.0
